CMPLNT_FR_DT,OFNS_DESC,BORO_NM,LAW_CAT_CD,Latitude,Longitude
11/30/2024,BURGLARY_dev,BRONX,MISDEMEANOR,40.705318,-74.126058
07/24/2023,BURGLARY,BRONX,FELONY,40.698198,-73.765338
12/23/2024,BURGLARY,BRONX,FELONY,40.548827,-74.049846
05/02/2024,BURGLARY,BRONX,MISDEMEANOR,40.609397,-73.732596
03/02/2023,BURGLARY,BRONX,FELONY,40.569738,-73.977441
09/21/2022,BURGLARY,BRONX,MISDEMEANOR,40.571709,-73.801024
04/21/2023,BURGLARY,BRONX,MISDEMEANOR,40.58637,-73.907908
10/04/2024,BURGLARY,BRONX,FELONY,40.745697,-73.807296
07/25/2024,BURGLARY,BRONX,FELONY,40.678156,-74.158433
01/14/2024,BURGLARY,BRONX,MISDEMEANOR,40.596802,-73.737507
04/29/2024,BURGLARY,BRONX,FELONY,40.867822,-74.021525
02/15/2023,BURGLARY,BRONX,FELONY,40.618539,-74.078314
03/04/2023,BURGLARY,BRONX,FELONY,40.826439,-74.065259
09/15/2024,BURGLARY,BRONX,MISDEMEANOR,40.796266,-74.223296
09/29/2022,BURGLARY,BRONX,FELONY,40.615959,-73.910399
02/08/2025,BURGLARY,BRONX,MISDEMEANOR,40.859435,-74.158804
01/21/2024,BURGLARY_dev,BRONX,FELONY,40.827014,-74.224502
01/11/2023,BURGLARY,BRONX,MISDEMEANOR,40.708381,-74.124884
01/29/2024,BURGLARY,BRONX,FELONY,40.885223,-73.802661
05/16/2025,BURGLARY,BRONX,FELONY,40.734403,-73.967075
11/14/2022,BURGLARY,BRONX,FELONY,40.593781,-73.937809
06/02/2024,DRUG POSSESSION,BRONX,MISDEMEANOR,40.76951,-73.769004
02/22/2023,DRUG POSSESSION,BRONX,FELONY,40.81915,-73.803219
01/27/2025,DRUG POSSESSION,BRONX,MISDEMEANOR,40.593428,-73.774373
05/06/2023,DRUG POSSESSION,BRONX,FELONY,40.540592,-73.822018
05/06/2025,DRUG POSSESSION,BRONX,FELONY,40.668682,-74.153895
12/20/2022,DRUG POSSESSION,BRONX,FELONY,40.883452,-73.944463
04/19/2024,DRUG POSSESSION,BRONX,FELONY,40.52069,-73.77584
04/19/2024,DRUG POSSESSION,BRONX,VIOLATION,40.527607,-74.111197
01/23/2024,DRUG POSSESSION,BRONX,MISDEMEANOR,40.627671,-73.881679
06/16/2024,DRUG POSSESSION,BRONX,FELONY,40.759158,-74.120113
11/29/2024,DRUG POSSESSION,BRONX,FELONY,40.794403,-73.830646
03/18/2025,DRUG POSSESSION,BRONX,FELONY,40.604983,-74.2289
09/16/2022,DRUG POSSESSION,BRONX,MISDEMEANOR,40.893098,-73.738815
10/23/2023,DRUG POSSESSION,BRONX,FELONY,40.82489,-73.94783
10/09/2023,DRUG POSSESSION,BRONX,FELONY,40.761647,-73.748301
02/19/2023,DRUG POSSESSION,BRONX,FELONY,40.590151,-73.813164
05/21/2024,DRUG POSSESSION,BRONX,FELONY,40.839226,-73.888384
10/19/2023,DRUG POSSESSION,BRONX,FELONY,40.850354,-73.926634
07/12/2025,DRUG POSSESSION,BRONX,MISDEMEANOR,40.869136,-74.024429
03/21/2025,DRUG POSSESSION,BRONX,MISDEMEANOR,40.609286,-73.71793
03/08/2025,DRUG POSSESSION,BRONX,FELONY,40.751443,-73.883187
03/03/2023,DRUG POSSESSION,BRONX,MISDEMEANOR,40.568175,-73.8735
12/18/2024,DRUG POSSESSION,BRONX,FELONY,40.608119,-74.14725
03/14/2025,DRUG POSSESSION,BRONX,MISDEMEANOR,40.661305,-73.924913
04/06/2023,DRUG POSSESSION,BRONX,FELONY,40.585707,-74.154985
02/21/2025,DRUG POSSESSION,BRONX,FELONY,40.840044,-73.733161
03/04/2024,DRUG POSSESSION,BRONX,FELONY,40.577809,-74.044839
05/16/2024,DRUG POSSESSION,BRONX,MISDEMEANOR,40.790769,-73.91739
05/14/2023,DRUG POSSESSION,BRONX,MISDEMEANOR,40.661569,-74.061679
03/29/2025,DRUG POSSESSION,BRONX,VIOLATION,40.51432,-74.167772
11/06/2024,DRUG POSSESSION,BRONX,VIOLATION,40.738976,-74.061891
06/17/2023,DRUG POSSESSION,BRONX,FELONY,40.512623,-74.007614
09/17/2024,FRAUD,BRONX,MISDEMEANOR,40.641517,-74.076092
11/12/2024,FRAUD,BRONX,VIOLATION,40.754026,-73.768916
03/27/2025,FRAUD,BRONX,FELONY,40.752752,-73.966132
10/18/2022,FRAUD,BRONX,FELONY,40.663714,-74.104943
04/12/2024,FRAUD,BRONX,FELONY,40.794103,-73.935643
05/09/2025,FRAUD,BRONX,FELONY,40.736082,-73.702179
03/30/2023,FRAUD,BRONX,MISDEMEANOR,40.801372,-74.142369
02/20/2025,FRAUD,BRONX,MISDEMEANOR,40.558191,-74.091653
04/12/2025,FRAUD,BRONX,MISDEMEANOR,40.664113,-74.004151
09/19/2022,FRAUD,BRONX,FELONY,40.89601,-74.07536
04/06/2025,FRAUD,BRONX,FELONY,40.635092,-73.901773
02/23/2024,FRAUD,BRONX,FELONY,40.865873,-73.759097
10/10/2024,FRAUD,BRONX,MISDEMEANOR,40.70321,-74.129524
06/04/2024,FRAUD,BRONX,MISDEMEANOR,40.811308,-73.985064
06/24/2023,FRAUD,BRONX,FELONY,40.888136,-74.023684
01/01/2024,FRAUD,BRONX,FELONY,40.714035,-73.824603
08/23/2024,FRAUD,BRONX,MISDEMEANOR,40.759432,-73.97867
04/16/2024,FRAUD,BRONX,FELONY,40.609538,-74.215509
01/15/2023,FRAUD,BRONX,FELONY,40.869183,-73.790066
05/30/2024,FRAUD,BRONX,FELONY,40.576212,-73.98588
02/11/2023,FRAUD,BRONX,MISDEMEANOR,40.794767,-73.803036
03/03/2024,FRAUD,BRONX,FELONY,40.848234,-73.867859
08/29/2023,FRAUD,BRONX,MISDEMEANOR,40.62385,-73.989789
01/29/2025,FRAUD,BRONX,MISDEMEANOR,40.729737,-73.757011
04/04/2024,FRAUD,BRONX,FELONY,40.524258,-74.141266
05/15/2024,FRAUD,BRONX,FELONY,40.841516,-74.180774
03/17/2025,FRAUD,BRONX,MISDEMEANOR,40.59576,-73.930502
12/22/2024,FRAUD,BRONX,MISDEMEANOR,40.828856,-74.031055
07/15/2025,FRAUD,BRONX,MISDEMEANOR,40.597697,-73.752568
02/17/2025,FRAUD,BRONX,MISDEMEANOR,40.80967,-73.851164
03/29/2025,FRAUD,BRONX,MISDEMEANOR,40.645207,-74.068109
01/29/2024,FRAUD,BRONX,MISDEMEANOR,40.853498,-74.170064
03/01/2023,FRAUD,BRONX,FELONY,40.721804,-73.824398
09/22/2022,FRAUD,BRONX,FELONY,40.571571,-73.9817
01/07/2025,FRAUD,BRONX,VIOLATION,40.759405,-73.767968
12/12/2022,FRAUD,BRONX,MISDEMEANOR,40.729647,-73.931684
08/01/2023,FRAUD,BRONX,MISDEMEANOR,40.866895,-74.103375
10/31/2022,FRAUD,BRONX,MISDEMEANOR,40.638014,-73.814704
02/18/2024,FRAUD,BRONX,MISDEMEANOR,40.57532,-74.058873
09/02/2024,FRAUD,BRONX,FELONY,40.51757,-74.035485
11/07/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.778279,-74.132598
04/13/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.837897,-73.837471
03/10/2024,GRAND LARCENY,BRONX,FELONY,40.810179,-73.905897
07/24/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.824907,-73.962755
11/14/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.662007,-74.238357
12/14/2022,GRAND LARCENY,BRONX,MISDEMEANOR,40.812628,-74.094406
02/06/2024,GRAND LARCENY,BRONX,FELONY,40.779353,-74.008559
09/21/2023,GRAND LARCENY,BRONX,FELONY,40.691597,-73.807307
03/18/2025,GRAND LARCENY,BRONX,FELONY,40.731727,-74.236572
06/29/2025,GRAND LARCENY,BRONX,VIOLATION,40.565538,-74.132942
12/21/2024,GRAND LARCENY,BRONX,FELONY,40.516866,-74.010014
01/15/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.580716,-73.993082
03/28/2025,GRAND LARCENY,BRONX,FELONY,40.896532,-74.058484
07/14/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.78109,-73.73328
02/15/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.523503,-74.147936
05/07/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.718842,-74.070038
01/22/2023,GRAND LARCENY,BRONX,FELONY,40.72279,-74.101773
05/27/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.738224,-73.831766
09/24/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.794699,-74.06449
02/24/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.741105,-74.012383
03/13/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.842674,-74.224851
11/24/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.775861,-73.995988
08/14/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.715505,-73.862699
12/17/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.522902,-74.047412
05/30/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.536219,-74.192098
06/19/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.619866,-74.08371
04/03/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.829855,-73.757436
12/11/2022,GRAND LARCENY,BRONX,FELONY,40.69481,-73.786443
06/17/2025,GRAND LARCENY,BRONX,FELONY,40.884062,-74.209373
09/13/2022,GRAND LARCENY,BRONX,FELONY,40.534218,-73.999594
04/26/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.8184,-74.230333
02/15/2023,GRAND LARCENY,BRONX,FELONY,40.580574,-74.102851
03/28/2024,GRAND LARCENY,BRONX,FELONY,40.757624,-73.990121
01/04/2025,GRAND LARCENY,BRONX,MISDEMEANOR,40.637004,-73.759975
09/08/2022,GRAND LARCENY,BRONX,FELONY,40.837404,-74.199197
11/08/2024,GRAND LARCENY,BRONX,MISDEMEANOR,40.559727,-73.978753
04/02/2023,GRAND LARCENY,BRONX,MISDEMEANOR,40.596245,-73.776705
04/29/2024,PETIT LARCENY,BRONX,FELONY,40.856664,-74.129857
08/09/2023,PETIT LARCENY,BRONX,FELONY,40.756479,-73.864876
01/11/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.732646,-74.032071
01/23/2024,PETIT LARCENY,BRONX,VIOLATION,40.505914,-73.958312
08/04/2022,PETIT LARCENY,BRONX,MISDEMEANOR,40.738265,-74.027688
10/01/2022,PETIT LARCENY,BRONX,MISDEMEANOR,40.591486,-74.162524
09/23/2023,PETIT LARCENY,BRONX,FELONY,40.707167,-74.249097
10/26/2022,PETIT LARCENY,BRONX,VIOLATION,40.743588,-74.068178
06/11/2024,PETIT LARCENY,BRONX,FELONY,40.891109,-73.79166
05/28/2023,PETIT LARCENY,BRONX,FELONY,40.563106,-74.058829
03/03/2025,PETIT LARCENY,BRONX,MISDEMEANOR,40.809811,-73.930439
06/02/2024,PETIT LARCENY,BRONX,FELONY,40.790001,-73.952081
01/23/2023,PETIT LARCENY,BRONX,FELONY,40.510505,-73.944308
02/19/2023,PETIT LARCENY,BRONX,FELONY,40.577166,-74.084744
05/09/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.726162,-73.851873
06/05/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.646668,-73.986094
04/22/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.86511,-74.169609
08/24/2022,PETIT LARCENY,BRONX,MISDEMEANOR,40.779795,-74.042766
08/07/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.691295,-73.718307
03/07/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.75132,-74.240864
08/23/2022,PETIT LARCENY,BRONX,FELONY,40.673759,-74.248495
06/17/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.645369,-73.93115
08/31/2024,PETIT LARCENY,BRONX,MISDEMEANOR,40.794047,-74.014331
03/15/2023,PETIT LARCENY,BRONX,FELONY,40.75012,-73.945545
06/01/2024,PETIT LARCENY,BRONX,FELONY,40.718555,-73.730071
11/21/2023,PETIT LARCENY,BRONX,FELONY,40.622293,-74.035355
09/30/2024,PETIT LARCENY,BRONX,FELONY,40.840316,-74.144291
11/21/2022,PETIT LARCENY,BRONX,MISDEMEANOR,40.699881,-74.239086
04/09/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.782721,-74.040754
12/26/2023,PETIT LARCENY,BRONX,MISDEMEANOR,40.752944,-73.705075
11/03/2023,PETIT LARCENY,BRONX,FELONY,40.558849,-74.149772
10/02/2024,ROBBERY,BRONX,MISDEMEANOR,40.726989,-73.825298
11/14/2024,ROBBERY,BRONX,FELONY,40.835095,-74.222579
10/10/2023,ROBBERY,BRONX,FELONY,40.696732,-73.775171
11/17/2022,ROBBERY,BRONX,FELONY,40.666808,-73.976856
09/16/2023,ROBBERY,BRONX,VIOLATION,40.860505,-74.007286
07/15/2025,ROBBERY,BRONX,FELONY,40.798084,-74.221177
06/20/2023,ROBBERY,BRONX,FELONY,40.75327,-73.770945
05/21/2023,ROBBERY,BRONX,FELONY,40.617094,-74.167055
07/22/2023,ROBBERY,BRONX,MISDEMEANOR,40.568785,-74.168117
03/20/2024,ROBBERY,BRONX,FELONY,40.732971,-74.110593
11/03/2022,ROBBERY,BRONX,MISDEMEANOR,40.838963,-74.215698
05/15/2024,ROBBERY,BRONX,MISDEMEANOR,40.546352,-74.212537
04/13/2023,ROBBERY,BRONX,MISDEMEANOR,40.609738,-73.749523
01/04/2025,ROBBERY,BRONX,MISDEMEANOR,40.6085,-74.044408
02/15/2023,ROBBERY,BRONX,VIOLATION,40.800738,-73.935291
03/06/2025,ROBBERY,BRONX,FELONY,40.791326,-74.238818
01/19/2024,ROBBERY,BRONX,MISDEMEANOR,40.592865,-73.707003
07/17/2024,ROBBERY,BRONX,MISDEMEANOR,40.883523,-74.158859
10/01/2022,ROBBERY,BRONX,FELONY,40.560633,-74.210469
10/07/2022,ROBBERY,BRONX,MISDEMEANOR,40.758847,-74.191289
09/22/2023,ROBBERY,BRONX,FELONY,40.58453,-73.749299
02/25/2025,ROBBERY,BRONX,VIOLATION,40.772774,-73.9948
03/04/2024,ROBBERY,BRONX,MISDEMEANOR,40.603085,-74.23946
11/05/2023,ROBBERY,BRONX,MISDEMEANOR,40.884362,-73.719612
03/21/2024,ROBBERY,BRONX,MISDEMEANOR,40.518814,-73.907937
03/01/2024,ROBBERY,BRONX,FELONY,40.842789,-73.758748
07/17/2023,ROBBERY,BRONX,FELONY,40.833108,-73.775852
03/25/2023,ROBBERY,BRONX,FELONY,40.781006,-73.708105
03/16/2024,ROBBERY,BRONX,FELONY,40.57882,-74.080126
12/07/2024,ROBBERY,BRONX,MISDEMEANOR,40.615031,-74.180588
03/07/2024,ROBBERY,BRONX,FELONY,40.83266,-74.136046
03/08/2024,ROBBERY,BRONX,MISDEMEANOR,40.555129,-74.174336
09/01/2023,ROBBERY,BRONX,FELONY,40.545166,-74.238849
12/07/2023,ROBBERY,BRONX,FELONY,40.594487,-73.820298
06/12/2024,ROBBERY,BRONX,MISDEMEANOR,40.575548,-74.240553
08/25/2022,ROBBERY,BRONX,FELONY,40.781334,-73.888269
08/06/2022,ROBBERY,BRONX,FELONY,40.616664,-73.941647
04/05/2025,ROBBERY,BRONX,MISDEMEANOR,40.733474,-74.204611
12/07/2023,ROBBERY,BRONX,FELONY,40.554588,-73.90427
12/08/2023,ROBBERY,BRONX,MISDEMEANOR,40.787786,-73.779961
02/19/2025,ROBBERY,BRONX,FELONY,40.663253,-74.102478
03/20/2024,ROBBERY,BRONX,FELONY,40.85442,-74.115771
07/02/2024,ROBBERY,BRONX,MISDEMEANOR,40.573575,-74.014096
04/14/2024,ROBBERY,BRONX,FELONY,40.784003,-74.15834
03/20/2023,ROBBERY,BRONX,FELONY,40.76264,-73.89882
05/06/2024,ROBBERY,BRONX,FELONY,40.811196,-73.900326
01/07/2025,VANDALISM,BRONX,FELONY,40.720507,-73.861391
12/10/2022,VANDALISM,BRONX,MISDEMEANOR,40.70983,-73.963015
10/20/2022,VANDALISM,BRONX,VIOLATION,40.741591,-74.249962
01/01/2023,VANDALISM,BRONX,MISDEMEANOR,40.580675,-73.976602
10/22/2024,VANDALISM,BRONX,MISDEMEANOR,40.696081,-73.862736
02/11/2025,VANDALISM,BRONX,FELONY,40.637576,-73.858136
09/05/2024,VANDALISM,BRONX,MISDEMEANOR,40.725891,-74.182572
07/06/2025,VANDALISM,BRONX,VIOLATION,40.60359,-74.084092
01/10/2025,VANDALISM,BRONX,MISDEMEANOR,40.86258,-74.170952
02/28/2023,VANDALISM,BRONX,VIOLATION,40.617497,-74.099612
01/17/2024,VANDALISM,BRONX,FELONY,40.697289,-73.93492
07/25/2024,VANDALISM,BRONX,FELONY,40.815203,-74.072753
07/31/2022,VANDALISM,BRONX,FELONY,40.592375,-73.921457
10/13/2023,VANDALISM,BRONX,FELONY,40.715948,-73.854345
06/09/2024,VANDALISM,BRONX,FELONY,40.66512,-73.767136
11/28/2024,VANDALISM,BRONX,MISDEMEANOR,40.605674,-74.053435
11/26/2022,VANDALISM,BRONX,FELONY,40.552556,-73.897353
01/15/2023,VANDALISM,BRONX,FELONY,40.605525,-73.785319
11/11/2024,VANDALISM,BRONX,MISDEMEANOR,40.53785,-74.130693
07/31/2024,VANDALISM,BRONX,MISDEMEANOR,40.848428,-74.08179
02/06/2023,VANDALISM,BRONX,MISDEMEANOR,40.569647,-73.99217
05/08/2023,VANDALISM,BRONX,MISDEMEANOR,40.777817,-73.750133
10/19/2022,VANDALISM,BRONX,FELONY,40.761781,-74.205596
04/26/2025,VANDALISM,BRONX,FELONY,40.634446,-74.129202
01/02/2024,VANDALISM,BRONX,FELONY,40.780511,-73.98972
02/19/2023,VANDALISM,BRONX,FELONY,40.722687,-73.991593
01/02/2023,VANDALISM,BRONX,VIOLATION,40.54046,-73.906579
11/23/2024,VANDALISM,BRONX,FELONY,40.68583,-73.783545
04/15/2024,VANDALISM,BRONX,VIOLATION,40.778684,-74.190537
04/29/2023,VANDALISM,BRONX,MISDEMEANOR,40.503712,-73.995952
07/07/2024,VANDALISM,BRONX,FELONY,40.863848,-74.241325
04/17/2025,VANDALISM,BRONX,FELONY,40.792607,-74.0418
03/25/2024,VANDALISM,BRONX,FELONY,40.552351,-73.885905
08/26/2022,VANDALISM,BRONX,FELONY,40.539117,-73.791338
