,age,status,sex,orientation,body_type,diet,drinks,drugs,education,ethnicity,height,income,job,last_online,location,offspring,pets,religion,sign,smokes,speaks
12,24,single,m,straight,,,often,,,white,72.0,-1,entertainment / media,2012-05-28-21-28,"san francisco, california",doesn't have kids,,other,taurus,,english
13,30,single,f,straight,skinny,mostly anything,socially,never,graduated from high school,white,66.0,30000,sales / marketing / biz dev,2012-06-13-16-06,"san francisco, california",,has dogs and likes cats,christianity but not too serious about it,,no,english
14,29,single,f,straight,thin,mostly anything,socially,never,working on college/university,"hispanic / latin, white",62.0,50000,other,2012-06-29-08-55,"san leandro, california","doesn't have kids, but wants them",likes dogs and has cats,catholicism,taurus,no,english
15,39,single,f,straight,fit,strictly anything,socially,,graduated from college/university,white,65.0,-1,medicine / health,2012-06-29-22-09,"san francisco, california",doesn't have kids,likes dogs and has cats,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)"
16,33,single,m,straight,fit,,socially,,working on masters program,white,70.0,-1,entertainment / media,2012-06-29-16-08,"oakland, california",,likes dogs and likes cats,,pisces but it doesn&rsquo;t matter,sometimes,"english (fluently), c++ (fluently), german (poorly), french (poorly)"
17,26,single,f,straight,average,,socially,never,working on college/university,hispanic / latin,64.0,-1,banking / financial / real estate,2012-06-29-21-17,"san francisco, california",doesn't have kids,,,aries and it&rsquo;s fun to think about,no,english
18,31,single,m,straight,average,mostly vegetarian,rarely,never,graduated from space camp,white,71.0,-1,medicine / health,2012-06-29-04-04,"san francisco, california",,likes dogs and likes cats,christianity,libra but it doesn&rsquo;t matter,no,english (fluently)
19,33,single,m,straight,athletic,mostly anything,socially,never,graduated from masters program,white,72.0,-1,science / tech / engineering,2012-06-27-21-41,"san francisco, california",doesn't have kids,likes dogs and likes cats,catholicism but not too serious about it,pisces and it&rsquo;s fun to think about,no,english (fluently)
20,27,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,sales / marketing / biz dev,2012-06-26-20-40,"san francisco, california",,likes dogs and dislikes cats,catholicism,libra,no,english (fluently)
21,22,single,f,straight,athletic,,socially,never,working on college/university,,67.0,-1,student,2012-06-15-22-56,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism and somewhat serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently), italian (okay)"
22,30,single,m,straight,fit,mostly anything,socially,never,graduated from college/university,white,69.0,-1,executive / management,2012-06-28-15-22,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,no,"english, spanish (poorly)"
23,30,single,m,straight,thin,strictly vegan,not at all,never,graduated from college/university,white,71.0,-1,education / academia,2012-05-17-20-23,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,aquarius but it doesn&rsquo;t matter,no,english
24,33,single,m,straight,thin,strictly anything,socially,sometimes,graduated from college/university,white,73.0,-1,artistic / musical / writer,2012-06-29-21-32,"oakland, california",,likes cats,other,scorpio and it matters a lot,sometimes,english
25,28,single,m,straight,fit,anything,rarely,never,graduated from college/university,"asian, white",70.0,-1,medicine / health,2012-06-26-01-27,"atherton, california","doesn't have kids, but wants them",has dogs,,gemini and it&rsquo;s fun to think about,no,english
26,22,single,m,straight,fit,mostly anything,socially,never,working on college/university,"pacific islander, white",72.0,-1,clerical / administrative,2012-06-10-01-37,"san francisco, california",,likes dogs and dislikes cats,catholicism and laughing about it,leo and it&rsquo;s fun to think about,trying to quit,"english (fluently), tagalog (fluently), japanese (okay)"
27,22,single,m,straight,average,anything,socially,never,,asian,67.0,-1,other,2012-06-25-23-06,"oakland, california",,has dogs and dislikes cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,"english (fluently), other (fluently), thai (poorly)"
28,30,single,m,straight,fit,,socially,,graduated from masters program,,74.0,-1,,2012-06-19-01-22,"san francisco, california",,likes dogs and likes cats,atheism and laughing about it,,no,"english, spanish (poorly)"
29,32,single,m,straight,fit,,socially,sometimes,graduated from college/university,white,68.0,-1,other,2012-06-29-07-01,"san francisco, california",,,agnosticism and laughing about it,leo but it doesn&rsquo;t matter,no,english
30,27,single,f,straight,average,anything,socially,,working on college/university,white,64.0,-1,other,2011-11-10-13-15,"san francisco, california",,,agnosticism,gemini,trying to quit,"english, spanish (poorly)"
31,27,single,m,straight,athletic,anything,socially,never,graduated from college/university,,72.0,-1,science / tech / engineering,2012-06-27-23-16,"san francisco, california","doesn't have kids, but wants them",likes dogs,atheism,,no,english
32,38,single,f,straight,average,mostly anything,socially,never,graduated from college/university,white,67.0,-1,computer / hardware / software,2012-05-25-00-04,"san leandro, california",doesn't have kids,,christianity,libra,no,english
33,20,single,f,straight,average,mostly vegetarian,socially,never,working on college/university,,60.0,-1,hospitality / travel,2012-06-30-00-00,"san rafael, california",doesn't want kids,has dogs and likes cats,,cancer,no,"english (fluently), spanish (fluently)"
34,27,single,m,straight,thin,strictly anything,socially,never,graduated from college/university,white,69.0,-1,entertainment / media,2012-06-24-22-10,"san francisco, california",,likes dogs and likes cats,atheism and somewhat serious about it,sagittarius but it doesn&rsquo;t matter,when drinking,english
35,26,single,m,straight,athletic,,,never,,white,69.0,-1,banking / financial / real estate,2012-06-27-00-32,"san francisco, california",,,,,,"english, russian"
36,32,single,m,straight,athletic,mostly anything,socially,never,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-28-09-28,"san francisco, california","doesn't have kids, but wants them",likes dogs and dislikes cats,buddhism but not too serious about it,cancer and it&rsquo;s fun to think about,when drinking,"english (fluently), spanish (fluently)"
37,25,single,m,bisexual,fit,mostly anything,socially,,working on college/university,"hispanic / latin, white",69.0,-1,other,2012-06-28-12-57,"oakland, california","doesn't have kids, but might want them",likes dogs and likes cats,,libra and it&rsquo;s fun to think about,,"english (fluently), spanish (poorly)"
38,27,single,f,straight,curvy,,socially,,,,63.0,-1,entertainment / media,2012-06-29-17-20,"walnut creek, california",,,,libra,,english
39,35,single,m,straight,fit,,socially,,graduated from college/university,white,74.0,-1,computer / hardware / software,2012-06-30-00-01,"san rafael, california",,,,,no,english
40,30,single,m,straight,average,,often,never,graduated from masters program,,76.0,-1,computer / hardware / software,2012-06-29-22-56,"menlo park, california",doesn't have kids,likes cats,agnosticism,,no,"english (fluently), dutch (fluently), lisp (fluently), spanish (okay), german (okay)"
41,35,single,m,straight,athletic,strictly anything,,,graduated from college/university,"black, white",72.0,-1,,2012-06-30-00-01,"oakland, california","doesn't have kids, but wants them",,agnosticism,pisces,no,english
42,30,single,m,straight,average,strictly anything,often,sometimes,graduated from masters program,white,75.0,-1,artistic / musical / writer,2012-03-19-17-41,"berkeley, california",,,other but not too serious about it,gemini but it doesn&rsquo;t matter,no,"english, indonesian (fluently)"
43,40,single,m,straight,fit,,socially,,graduated from college/university,white,71.0,60000,construction / craftsmanship,2012-06-30-00-01,"san francisco, california",doesn't have kids,likes dogs,agnosticism but not too serious about it,gemini and it&rsquo;s fun to think about,no,"english (okay), french (poorly), spanish (poorly), c++ (okay)"
44,29,single,f,bisexual,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,other,2012-06-10-13-28,"san francisco, california",doesn't have kids,has cats,other,aquarius and it&rsquo;s fun to think about,no,"english, spanish (poorly), portuguese (poorly)"
45,27,single,m,straight,average,mostly anything,socially,never,college/university,pacific islander,69.0,-1,education / academia,2012-06-28-18-09,"oakland, california",doesn't have kids,,catholicism and somewhat serious about it,aquarius,,"english (fluently), tagalog (fluently)"
46,27,single,m,straight,athletic,mostly anything,socially,,graduated from masters program,,73.0,-1,,2012-06-29-07-09,"san francisco, california",,,,,,"english (fluently), swedish (fluently), french (poorly)"
47,28,single,m,straight,average,anything,often,sometimes,,white,70.0,-1,artistic / musical / writer,2012-06-25-15-06,"san francisco, california",doesn't have kids,,agnosticism and laughing about it,libra,no,english (okay)
48,31,single,f,bisexual,thin,strictly anything,socially,sometimes,dropped out of space camp,,67.0,1000000,artistic / musical / writer,2012-06-30-00-01,"san francisco, california",doesn't have kids,,,,no,"english (fluently), belarusan, gujarati, lisp, russian (fluently)"
49,26,single,f,straight,athletic,mostly anything,socially,never,graduated from college/university,white,66.0,-1,science / tech / engineering,2012-06-28-07-59,"belmont, california",doesn't have kids,likes dogs and likes cats,other but not too serious about it,taurus but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay)"
50,33,single,f,gay,fit,,often,sometimes,graduated from college/university,white,66.0,-1,artistic / musical / writer,2012-06-27-08-41,"oakland, california",,,,taurus,no,"english (fluently), spanish (okay)"
51,38,single,f,gay,athletic,anything,socially,never,graduated from college/university,,65.0,-1,,2012-03-23-22-05,"oakland, california",wants kids,likes dogs,,taurus,no,english
52,31,single,m,straight,average,mostly anything,socially,,graduated from college/university,white,69.0,-1,science / tech / engineering,2012-06-23-11-09,"san francisco, california",doesn't have kids,likes dogs and likes cats,agnosticism,gemini and it&rsquo;s fun to think about,no,"english, japanese (poorly)"
53,36,single,m,straight,athletic,,socially,,graduated from college/university,"asian, native american",69.0,-1,computer / hardware / software,2012-06-20-14-54,"oakland, california",,has dogs,,,,english
54,33,single,m,straight,fit,mostly anything,rarely,never,graduated from college/university,white,69.0,-1,computer / hardware / software,2012-06-25-04-53,"menlo park, california",,likes dogs and likes cats,atheism,,no,english
55,33,single,m,gay,athletic,anything,socially,never,graduated from college/university,white,70.0,-1,medicine / health,2012-06-29-16-04,"san francisco, california",doesn't have kids,likes dogs and has cats,,pisces and it&rsquo;s fun to think about,no,"english, farsi (fluently)"
56,26,single,m,straight,fit,anything,socially,,working on college/university,white,71.0,-1,student,2012-06-29-17-24,"berkeley, california",,,atheism and laughing about it,sagittarius,no,"english (fluently), french (fluently), spanish (poorly)"
57,21,single,m,straight,thin,,socially,,working on college/university,white,72.0,-1,computer / hardware / software,2012-06-29-22-10,"san francisco, california",,,buddhism,,when drinking,english
58,22,single,m,straight,fit,,socially,sometimes,working on college/university,"hispanic / latin, white",70.0,-1,student,2011-10-13-03-10,"san francisco, california",,has dogs and has cats,agnosticism,pisces,sometimes,english
59,31,single,m,straight,average,,socially,,graduated from college/university,,71.0,-1,,2012-06-05-13-04,"san francisco, california",,likes dogs and likes cats,agnosticism and somewhat serious about it,libra but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)"
60,31,seeing someone,m,straight,fit,mostly anything,socially,never,working on college/university,"asian, pacific islander",67.0,-1,computer / hardware / software,2012-05-07-02-46,"san francisco, california",,likes dogs and dislikes cats,catholicism,gemini but it doesn&rsquo;t matter,no,"english, tagalog (poorly), c++ (okay)"
61,35,single,m,straight,thin,mostly vegetarian,socially,,,white,75.0,-1,other,2012-06-29-20-45,"san francisco, california",doesn't have kids,likes dogs and likes cats,,cancer,no,"english, spanish (poorly)"
62,31,single,m,straight,thin,strictly anything,socially,sometimes,graduated from masters program,white,70.0,-1,rather not say,2012-06-29-20-38,"san francisco, california",doesn't have kids,,agnosticism but not too serious about it,cancer and it&rsquo;s fun to think about,when drinking,english
63,28,single,f,straight,curvy,mostly vegetarian,socially,,working on masters program,white,67.0,-1,education / academia,2012-06-28-21-28,"san francisco, california","doesn't have kids, but might want them",likes dogs,other and laughing about it,gemini and it&rsquo;s fun to think about,sometimes,"english, spanish (okay)"
64,28,single,m,straight,athletic,anything,socially,never,graduated from college/university,hispanic / latin,72.0,-1,political / government,2012-06-27-09-14,"san francisco, california",doesn't have kids,,,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (fluently)"
65,29,single,m,straight,fit,mostly vegetarian,socially,never,graduated from ph.d program,white,68.0,-1,science / tech / engineering,2012-06-29-09-47,"san francisco, california",doesn't have kids,,judaism but not too serious about it,,no,"english, spanish (poorly)"
66,22,single,m,straight,athletic,mostly anything,rarely,never,working on college/university,asian,65.0,20000,education / academia,2012-06-30-00-02,"san jose, california",,,buddhism and laughing about it,virgo but it doesn&rsquo;t matter,no,english (fluently)
67,30,single,f,straight,thin,,rarely,sometimes,working on college/university,"black, native american, white",66.0,-1,student,2012-05-28-14-45,"san francisco, california",,likes dogs and has cats,other and somewhat serious about it,aries and it&rsquo;s fun to think about,sometimes,english (fluently)
68,31,single,f,bisexual,average,strictly anything,socially,,,"middle eastern, other",69.0,-1,medicine / health,2012-05-09-16-41,"palo alto, california",doesn't want kids,likes dogs and likes cats,other and very serious about it,virgo,sometimes,english (fluently)
69,29,single,m,gay,thin,,socially,sometimes,working on masters program,white,76.0,-1,other,2012-04-26-07-55,"berkeley, california",,likes dogs and likes cats,agnosticism and somewhat serious about it,scorpio and it&rsquo;s fun to think about,no,"english (fluently), italian (poorly)"
70,25,single,f,straight,,,rarely,never,graduated from college/university,white,62.0,-1,science / tech / engineering,2012-06-28-17-28,"belmont, california",,,,pisces,no,english
71,33,single,f,straight,athletic,mostly anything,socially,,graduated from college/university,white,67.0,-1,entertainment / media,2012-02-15-06-10,"san francisco, california",,likes dogs,,gemini and it&rsquo;s fun to think about,no,"english, spanish (okay), italian (poorly), c++"
72,35,single,m,straight,athletic,mostly anything,socially,sometimes,graduated from space camp,"native american, white",73.0,150000,artistic / musical / writer,2012-06-29-00-25,"emeryville, california","doesn't have kids, but might want them",likes dogs and likes cats,agnosticism and very serious about it,pisces and it&rsquo;s fun to think about,no,"english (poorly), spanish (poorly)"
73,31,single,f,straight,curvy,mostly anything,socially,never,graduated from law school,indian,61.0,50000,law / legal services,2012-06-29-08-00,"oakland, california","doesn't have kids, but might want them",,hinduism but not too serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), hindi (okay), spanish (poorly), french (poorly), sanskrit (poorly)"
74,28,single,m,straight,fit,strictly anything,,,graduated from masters program,white,72.0,-1,education / academia,2012-06-28-20-44,"oakland, california",,likes dogs and has cats,,sagittarius but it doesn&rsquo;t matter,,"english (fluently), french (okay), german (poorly)"
75,29,available,f,bisexual,curvy,strictly vegetarian,socially,,graduated from college/university,,67.0,-1,rather not say,2012-06-28-22-21,"oakland, california",doesn't have kids,,,gemini,,"english (fluently), spanish (poorly)"
76,26,single,m,straight,fit,mostly anything,often,sometimes,working on ph.d program,white,72.0,-1,,2012-06-28-22-08,"berkeley, california","doesn't have kids, but might want them",likes dogs,agnosticism,capricorn but it doesn&rsquo;t matter,no,english
77,25,seeing someone,f,bisexual,curvy,,socially,never,working on college/university,white,65.0,-1,other,2011-10-20-19-56,"san francisco, california",,likes dogs and has cats,agnosticism and laughing about it,leo and it&rsquo;s fun to think about,no,english (fluently)
78,34,single,f,straight,curvy,mostly anything,socially,never,graduated from college/university,white,67.0,-1,sales / marketing / biz dev,2012-06-26-20-31,"san francisco, california",doesn't have kids,,agnosticism but not too serious about it,,no,"english, spanish, italian"
79,21,single,m,straight,fit,mostly anything,rarely,never,working on college/university,white,71.0,20000,entertainment / media,2011-12-20-12-29,"san francisco, california",,likes dogs and likes cats,catholicism but not too serious about it,,no,english
80,28,single,f,straight,thin,,often,never,graduated from masters program,white,67.0,-1,executive / management,2012-06-24-00-39,"san francisco, california",doesn't have kids,,atheism,cancer but it doesn&rsquo;t matter,no,"english (fluently), french (fluently)"
81,31,single,m,gay,average,mostly anything,socially,never,graduated from masters program,white,69.0,-1,,2012-06-29-14-02,"san francisco, california",,likes dogs and likes cats,atheism,,no,"english, german (fluently), spanish (okay)"
82,34,single,m,straight,fit,anything,socially,never,graduated from masters program,white,69.0,100000,executive / management,2012-06-28-22-24,"san francisco, california",,likes dogs and has cats,agnosticism,,no,"english, other (poorly)"
83,32,single,f,gay,average,,socially,never,graduated from college/university,"asian, white",64.0,-1,science / tech / engineering,2012-02-25-22-53,"san francisco, california",,likes dogs and likes cats,,pisces and it&rsquo;s fun to think about,no,"english (fluently), japanese (okay), spanish (poorly)"
84,30,single,m,straight,athletic,,socially,never,graduated from college/university,,73.0,-1,science / tech / engineering,2011-12-25-22-08,"san francisco, california",,likes dogs,,gemini but it doesn&rsquo;t matter,no,english
85,28,single,m,straight,average,,socially,,graduated from college/university,white,68.0,-1,,2012-04-21-22-07,"palo alto, california",,likes cats,atheism but not too serious about it,scorpio and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay), portuguese (poorly)"
86,40,single,f,straight,fit,anything,socially,,college/university,,66.0,-1,,2012-06-06-21-05,"san francisco, california",,likes dogs and likes cats,,taurus,no,"english (fluently), spanish (okay)"
87,27,single,f,straight,a little extra,mostly anything,often,never,graduated from college/university,,61.0,-1,sales / marketing / biz dev,2012-06-26-22-44,"san francisco, california",,,,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly)"
88,43,single,m,straight,a little extra,,socially,never,two-year college,,71.0,-1,law / legal services,2012-06-29-09-18,"oakland, california",doesn't have kids,,,,no,"english, chinese (poorly), spanish (okay)"
89,37,single,f,straight,average,mostly anything,socially,never,graduated from college/university,,64.0,-1,,2012-03-30-08-10,"san francisco, california",,likes dogs and has cats,other but not too serious about it,,no,english
90,24,single,m,straight,average,anything,socially,never,graduated from college/university,black,74.0,-1,sales / marketing / biz dev,2012-01-27-18-35,"san francisco, california",,,,cancer,yes,english
91,29,single,m,straight,,,,,graduated from college/university,white,74.0,-1,science / tech / engineering,2011-10-27-01-12,"san rafael, california",,,catholicism,scorpio,,english
92,29,available,f,straight,a little extra,,,sometimes,graduated from two-year college,white,67.0,50000,medicine / health,2011-07-27-20-01,"el granada, california",,,,capricorn and it&rsquo;s fun to think about,,english
93,28,single,m,straight,fit,mostly vegetarian,socially,,graduated from college/university,"hispanic / latin, white",69.0,-1,computer / hardware / software,2012-06-29-22-43,"san francisco, california",doesn't have kids,likes dogs,,leo,no,"english (fluently), spanish (okay)"
94,29,single,m,straight,fit,mostly anything,socially,sometimes,graduated from college/university,white,67.0,40000,artistic / musical / writer,2012-05-28-15-18,"san francisco, california",doesn't want kids,likes dogs and likes cats,agnosticism and very serious about it,libra,no,english (fluently)
95,25,single,m,straight,athletic,mostly anything,socially,,graduated from college/university,white,78.0,80000,sales / marketing / biz dev,2012-06-26-22-52,"san francisco, california","doesn't have kids, but might want them",likes dogs and likes cats,catholicism and laughing about it,aries but it doesn&rsquo;t matter,no,"english (fluently), french (okay)"
96,34,single,m,straight,skinny,mostly other,very often,,dropped out of space camp,white,75.0,-1,hospitality / travel,2012-06-29-20-28,"san francisco, california",,likes dogs and has cats,other and very serious about it,aries,no,"english (poorly), german (poorly), spanish (poorly), other (fluently)"
97,39,single,m,straight,fit,,socially,never,graduated from college/university,asian,70.0,-1,other,2012-05-16-22-46,"san francisco, california",doesn't have kids,,agnosticism,,no,"english, chinese"
98,31,single,f,straight,curvy,anything,socially,sometimes,graduated from masters program,white,66.0,-1,executive / management,2012-06-29-06-59,"san francisco, california","doesn't have kids, but might want them",likes dogs,atheism,pisces,no,english (fluently)
99,46,single,m,straight,average,mostly anything,socially,never,,black,72.0,-1,construction / craftsmanship,2012-06-24-21-23,"castro valley, california",has a kid,,christianity,taurus,no,english
100,38,single,m,straight,thin,,socially,,working on masters program,white,71.0,-1,education / academia,2012-06-29-08-52,"san francisco, california","doesn't have kids, but might want them",,,aquarius,no,english
101,30,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,,68.0,-1,banking / financial / real estate,2012-06-18-22-02,"daly city, california",,,other and very serious about it,,no,"english (poorly), afrikaans (fluently), c++ (fluently), khmer (fluently), lisp (okay)"
102,41,single,m,straight,athletic,mostly anything,socially,often,working on space camp,white,69.0,1000000,education / academia,2012-06-28-09-53,"fairfax, california",,,agnosticism and somewhat serious about it,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly), french (poorly)"
103,39,single,m,straight,athletic,mostly other,socially,sometimes,,white,70.0,100000,computer / hardware / software,2012-05-19-18-19,"san francisco, california",,likes dogs,atheism but not too serious about it,leo and it&rsquo;s fun to think about,no,english (fluently)
104,31,single,f,straight,thin,anything,socially,never,graduated from masters program,white,63.0,-1,other,2012-06-25-19-41,"san francisco, california","doesn't have kids, but wants them",likes dogs,,scorpio but it doesn&rsquo;t matter,no,english
105,42,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,white,65.0,-1,education / academia,2012-06-29-22-35,"mountain view, california",has kids,likes dogs,judaism,aries but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), hebrew (okay), yiddish (poorly)"
106,45,single,f,straight,fit,mostly anything,socially,never,graduated from masters program,asian,64.0,-1,executive / management,2012-06-24-20-20,"menlo park, california",doesn't have kids,likes dogs,agnosticism and laughing about it,aries but it doesn&rsquo;t matter,no,english (fluently)
107,21,single,m,straight,athletic,mostly anything,rarely,never,working on med school,white,72.0,500000,medicine / health,2012-03-17-21-19,"burlingame, california",,has dogs,,aries and it&rsquo;s fun to think about,no,english
108,28,single,f,straight,,,socially,never,graduated from law school,pacific islander,64.0,-1,law / legal services,2012-06-30-00-04,"san francisco, california","doesn't have kids, but might want them",likes dogs,,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly), tagalog (poorly)"
109,29,single,m,straight,fit,strictly anything,socially,never,graduated from college/university,white,66.0,-1,other,2012-06-29-19-06,"martinez, california",doesn't have kids,,christianity and very serious about it,,no,english
110,36,single,m,straight,average,,socially,,graduated from masters program,,68.0,-1,education / academia,2012-06-24-23-44,"san francisco, california",,,,virgo,no,"english, spanish"
111,28,single,m,straight,athletic,,socially,,graduated from college/university,white,71.0,-1,education / academia,2012-06-29-22-07,"oakland, california",doesn't have kids,likes dogs,agnosticism,,no,"english (fluently), spanish (fluently)"
112,24,single,m,straight,athletic,,socially,,,"black, native american, hispanic / latin, other",74.0,-1,,2012-06-29-11-16,"oakland, california",,,,,,english
113,23,single,f,straight,curvy,mostly anything,rarely,never,working on college/university,"black, native american, hispanic / latin",66.0,20000,other,2012-06-28-18-40,"san francisco, california",has a kid,likes dogs and likes cats,other,capricorn and it&rsquo;s fun to think about,when drinking,english (fluently)
114,36,seeing someone,m,straight,fit,strictly anything,often,sometimes,graduated from ph.d program,white,70.0,-1,science / tech / engineering,2012-03-22-16-56,"emeryville, california",,likes dogs and likes cats,agnosticism,aries but it doesn&rsquo;t matter,no,"english (fluently), c++ (okay), french (poorly)"
115,35,single,m,straight,thin,,socially,never,,white,72.0,-1,,2012-06-24-18-46,"pleasant hill, california",,,atheism and laughing about it,aquarius,when drinking,english
116,18,single,m,straight,,,,never,,"asian, black, pacific islander",68.0,-1,,2012-05-24-23-07,"hayward, california",,,,,,"english (fluently), sign language (okay), hindi (fluently)"
117,55,single,m,straight,athletic,,not at all,never,dropped out of college/university,white,67.0,-1,construction / craftsmanship,2012-02-09-23-34,"alameda, california",has kids,likes dogs and likes cats,other but not too serious about it,leo,no,"english (fluently), spanish (fluently), japanese (poorly)"
118,21,single,f,straight,average,mostly vegetarian,not at all,never,working on space camp,"white, other",65.0,-1,,2012-06-29-13-31,"san francisco, california",doesn't have kids,likes dogs and likes cats,other and somewhat serious about it,capricorn and it&rsquo;s fun to think about,no,"english (fluently), russian (okay), french (poorly)"
119,28,seeing someone,f,straight,thin,mostly anything,socially,,working on college/university,white,66.0,-1,student,2012-06-22-02-01,"berkeley, california",,likes dogs and likes cats,,scorpio,no,"english (fluently), polish (fluently), spanish (poorly)"
120,24,single,m,straight,average,,socially,never,graduated from college/university,white,71.0,-1,computer / hardware / software,2012-06-28-11-06,"san francisco, california",,has cats,atheism and somewhat serious about it,aquarius but it doesn&rsquo;t matter,no,"english, russian (okay)"
121,50,single,m,straight,fit,mostly anything,socially,never,graduated from two-year college,white,75.0,-1,unemployed,2012-06-09-23-55,"vallejo, california",has kids,dislikes dogs and has cats,christianity and somewhat serious about it,gemini but it doesn&rsquo;t matter,no,"english (fluently), tagalog (poorly)"
122,23,single,m,straight,athletic,anything,socially,sometimes,graduated from space camp,white,66.0,-1,artistic / musical / writer,2012-06-15-23-59,"san francisco, california",,likes dogs and likes cats,,cancer,trying to quit,"english (fluently), russian (fluently)"
123,21,single,m,straight,thin,strictly anything,socially,often,working on space camp,"hispanic / latin, white",70.0,1000000,medicine / health,2012-06-29-17-01,"san francisco, california","doesn't have kids, and doesn't want any",likes dogs,atheism and laughing about it,sagittarius and it&rsquo;s fun to think about,sometimes,english
124,27,single,f,bisexual,curvy,mostly anything,socially,never,graduated from college/university,white,62.0,-1,medicine / health,2012-06-12-23-51,"san francisco, california",,,other but not too serious about it,aries but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)"
125,27,single,m,straight,fit,,socially,,graduated from college/university,asian,68.0,150000,science / tech / engineering,2012-02-29-12-08,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english
126,43,single,m,straight,average,,socially,never,graduated from college/university,white,73.0,-1,science / tech / engineering,2012-06-28-00-22,"emeryville, california",,,,virgo but it doesn&rsquo;t matter,no,"english, german (poorly), lisp (fluently), c++ (fluently)"
127,27,available,m,straight,fit,strictly anything,socially,,graduated from college/university,asian,68.0,150000,other,2012-06-27-00-15,"san francisco, california",,likes dogs and likes cats,agnosticism but not too serious about it,,no,english
